dataset,model,labels,predictors,roc_auc,roc_auc_std,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds_total,predict_seconds_total,folds
churn,mixed,real,19,0.8519695211397798,0.02603857126167212,0.8583982348380941,0.0,0.0,0.0,1.0,0.5516383017080286,0.3534757640693828,0.10649972336625263,14.160157515862213,14.160176516190589,32.8275946903741,,50
churn,plain,real,19,0.8575261428386429,0.026172357513415588,0.8584471345935952,0.02,0.0003448275862068965,0.0006779661016949153,1.0,0.5783071552517276,0.3413446845125345,0.10242382437342946,14.160157515862213,14.160176516190589,32.72991282178555,,50
credit-g,curriculum,real,20,0.7643214285714285,0.030487674073247935,0.7,0.7,1.0,0.8235294117647058,0.0,0.8830591762433536,0.5732769552967759,0.19436227087955113,70.0,70.0,6.35926537506748,,50
credit-g,mixed,real,20,0.7555690476190476,0.028039976391616137,0.7,0.7,1.0,0.8235294117647058,0.0,0.879355418477443,0.5712206028157572,0.19402869060137143,70.0,70.0,6.368075989885256,,50
credit-g,plain,real,20,0.7684285714285715,0.03080094899472138,0.7,0.7,1.0,0.8235294117647058,0.0,0.8837887970227324,0.5705710125916295,0.1935762944831273,70.0,70.0,6.191893840790726,,50
credit_card_clients_default,curriculum,real,23,0.7647797796073658,0.028424293026803677,0.7781261852227324,0.2531904761904762,0.007294261294261295,0.013944287279544472,0.99705329153605,0.5245779190376557,0.4662469545025192,0.14885202258018304,22.11913366275782,22.119029160951754,38.85530066490173,,50
credit_card_clients_default,mixed,real,23,0.7529532842636292,0.026146013429335223,0.7784193452203471,0.23399999999999999,0.006852258852258852,0.013174080952091565,0.9975548589341693,0.5207830579025806,0.4735186707480534,0.1516461714853516,22.11913366275782,22.119029160951754,38.87557343498338,,50
credit_card_clients_default,plain,real,23,0.7599676377262584,0.02944879095287502,0.7817390422803983,0.6350108225108225,0.032244200244200244,0.06009312717693589,0.9946081504702193,0.5293991566864391,0.46956432187173247,0.14960889095162644,22.11913366275782,22.119029160951754,38.79171675723046,,50
diabetes,curriculum,real,8,0.8343030747728861,0.03589961798238268,0.7606765130294542,0.7367503268379062,0.49899371069182386,0.5913371981935662,0.9009999999999999,0.7185304109325509,0.4966536045113814,0.16358546232778604,34.895791954662215,34.89517018928783,1.950211641844362,,50
diabetes,mixed,real,8,0.8340043326345213,0.03563282428164969,0.761588999236058,0.7529303681810634,0.48221523410202655,0.5835351132307807,0.9114,0.7137187911069814,0.5074428906533744,0.16728412810536086,34.895791954662215,34.89517018928783,1.9673970389412716,,50
