dataset,task_id,classes,predictors,fold,model,roc_auc,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds,predict_seconds,inputs,labels,contamination,context_contaminated_rows,query_contaminated_rows,train_rows,test_rows
blood-transfusion-service-center,363621,2,4,15,curriculum,0.7123538011695906,0.76,0.0,0.0,0.0,1.0,0.4722698807508724,0.5036903162747715,0.1638581974708763,23.745819397993312,24.0,0.02365683706011623,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,16,plain,0.8202972709551656,0.76,0.0,0.0,0.0,1.0,0.6571959999504503,0.4908211774381821,0.1597719163696217,23.745819397993312,24.0,0.023474274086765945,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,16,mixed,0.8276072124756334,0.76,0.0,0.0,0.0,1.0,0.6268055690680401,0.49485120291316853,0.1612767999297386,23.745819397993312,24.0,0.02368657395709306,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,16,curriculum,0.8375974658869395,0.76,0.0,0.0,0.0,1.0,0.6677725276018305,0.47466454604456837,0.1535588102669723,23.745819397993312,24.0,0.02368177892640233,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,17,plain,0.8012914230019492,0.76,0.0,0.0,0.0,1.0,0.5816418093440506,0.4857005805505485,0.1583585103595058,23.745819397993312,24.0,0.023367462097667158,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,17,mixed,0.7864278752436646,0.76,0.0,0.0,0.0,1.0,0.5674646573103465,0.49067911195411434,0.16029972113979818,23.745819397993312,24.0,0.02367869601584971,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,17,curriculum,0.7920321637426901,0.76,0.0,0.0,0.0,1.0,0.5899782953411342,0.4754871890084756,0.154691685636294,23.745819397993312,24.0,0.023628947092220187,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,18,plain,0.7090225563909774,0.7718120805369127,1.0,0.02857142857142857,0.05555555555555555,1.0,0.4614195093426964,0.49917534552855825,0.1633007689415967,23.87312186978297,23.48993288590604,0.023432599031366408,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,18,mixed,0.7273182957393483,0.7651006711409396,0.0,0.0,0.0,1.0,0.49147575196334525,0.4946437187822295,0.1615683199629459,23.87312186978297,23.48993288590604,0.02371906698681414,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,18,curriculum,0.7180451127819549,0.7651006711409396,0.0,0.0,0.0,1.0,0.4655405702426735,0.4931589192936197,0.16155436600412915,23.87312186978297,23.48993288590604,0.023749512969516218,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,19,plain,0.6799498746867167,0.7583892617449665,0.0,0.0,0.0,0.9912280701754386,0.36556625219995403,0.5168788467375492,0.17075485278419336,23.87312186978297,23.48993288590604,0.023510240018367767,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,19,mixed,0.6588972431077694,0.7583892617449665,0.0,0.0,0.0,0.9912280701754386,0.33855448791213355,0.5204348901751384,0.17231905443813533,23.87312186978297,23.48993288590604,0.023740223958157003,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,19,curriculum,0.6726817042606517,0.7583892617449665,0.0,0.0,0.0,0.9912280701754386,0.3679178282651434,0.5116224978322462,0.16847563814314293,23.87312186978297,23.48993288590604,0.023722001002170146,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,20,plain,0.7173489278752435,0.76,0.0,0.0,0.0,1.0,0.4798769987334583,0.5101841858194276,0.166830984711466,23.745819397993312,24.0,0.023401155951432884,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,20,mixed,0.7285575048732943,0.76,0.0,0.0,0.0,1.0,0.47526307211266033,0.5089463471998388,0.16656015522185888,23.745819397993312,24.0,0.023642992950044572,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,20,curriculum,0.7297758284600389,0.76,0.0,0.0,0.0,1.0,0.5184057339986232,0.49848353167670323,0.16198912317891664,23.745819397993312,24.0,0.02367947599850595,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,21,plain,0.8116471734892788,0.76,0.0,0.0,0.0,1.0,0.6147780779822414,0.4829361850981286,0.15737974807886299,23.745819397993312,24.0,0.023188155028037727,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,21,mixed,0.7899610136452242,0.76,0.0,0.0,0.0,1.0,0.5683452052234463,0.4894338010424454,0.15989243176630719,23.745819397993312,24.0,0.023697287891991436,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,21,curriculum,0.7950779727095516,0.76,0.0,0.0,0.0,1.0,0.5573322105475285,0.4730124847762701,0.15396658880534866,23.745819397993312,24.0,0.023667945060878992,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,22,plain,0.7034600389863548,0.7533333333333333,0.0,0.0,0.0,0.9912280701754386,0.38667749443852406,0.5126004223319834,0.16939148237018273,23.745819397993312,24.0,0.023320932989008725,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,22,mixed,0.6905458089668616,0.7533333333333333,0.0,0.0,0.0,0.9912280701754386,0.3877173230521669,0.5142438105178693,0.16985962144980843,23.745819397993312,24.0,0.023660405073314905,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,22,curriculum,0.689327485380117,0.7533333333333333,0.0,0.0,0.0,0.9912280701754386,0.38053555055693294,0.5069868010868669,0.1670736911317636,23.745819397993312,24.0,0.023679904988966882,,preprocessed,real,0.0,0,0,598,150
