source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank
synthetic,ambiguous[17],5,1.0,0.08521803468465805,0.08151476085186005,2.303637981414795
synthetic,ambiguous[18],0,0.0,0.0017939027165994048,0.0017956800293177366,1.334317922592163
synthetic,ambiguous[18],1,0.2,0.0020269439555704594,0.002020420040935278,1.7152066230773926
synthetic,ambiguous[18],2,0.4,0.0021699098870158195,0.002209847792983055,2.404508113861084
synthetic,ambiguous[18],3,0.6,0.014818365685641766,0.014930112287402153,3.7036778926849365
synthetic,ambiguous[18],4,0.8,0.024475714191794395,0.024966886267066002,2.840043783187866
synthetic,ambiguous[18],5,1.0,0.06533005833625793,0.06256012618541718,2.4278955459594727
synthetic,ambiguous[19],0,0.0,0.002192122396081686,0.002189263002946973,1.2143462896347046
synthetic,ambiguous[19],1,0.2,0.0033187568187713623,0.0033036284148693085,1.4512752294540405
synthetic,ambiguous[19],2,0.4,0.0035443459637463093,0.0036110016517341137,1.8071849346160889
synthetic,ambiguous[19],3,0.6,0.017434051260352135,0.017606981098651886,4.048539638519287
synthetic,ambiguous[19],4,0.8,0.03408702835440636,0.0349438413977623,2.4711289405822754
synthetic,ambiguous[19],5,1.0,0.09430941194295883,0.09019412845373154,2.0106444358825684
synthetic,identifiable[0],0,0.0,0.002066409680992365,0.002063985913991928,1.1192848682403564
synthetic,identifiable[0],1,0.2,0.003391559235751629,0.00337811466306448,1.4634202718734741
synthetic,identifiable[0],2,0.4,0.003116070292890072,0.0031753776129335165,1.864525556564331
synthetic,identifiable[0],3,0.6,0.011045786552131176,0.011137249879539013,4.614588737487793
synthetic,identifiable[0],4,0.8,0.018069205805659294,0.018469445407390594,3.391347885131836
synthetic,identifiable[0],5,1.0,0.06211505085229874,0.05945887416601181,2.449791669845581
synthetic,identifiable[1],0,0.0,0.0008733756840229034,0.0008734010625630617,1.8085861206054688
synthetic,identifiable[1],1,0.2,0.0013796713901683688,0.0013740572612732649,2.3493990898132324
synthetic,identifiable[1],2,0.4,0.001519988290965557,0.0015480242436751723,3.3354949951171875
synthetic,identifiable[1],3,0.6,0.017274878919124603,0.017418159171938896,4.079257011413574
synthetic,identifiable[1],4,0.8,0.033613309264183044,0.034383125603199005,2.678231954574585
synthetic,identifiable[1],5,1.0,0.08279736340045929,0.07932215929031372,2.4683291912078857
synthetic,identifiable[2],0,0.0,0.00195861142128706,0.0019573047757148743,1.175051212310791
synthetic,identifiable[2],1,0.2,0.0028866808861494064,0.002876139711588621,1.5643987655639648
synthetic,identifiable[2],2,0.4,0.0027432763017714024,0.0027948874048888683,2.2314341068267822
synthetic,identifiable[2],3,0.6,0.014447692781686783,0.014555881731212139,3.663681983947754
synthetic,identifiable[2],4,0.8,0.022369977086782455,0.02286330610513687,2.8627755641937256
synthetic,identifiable[2],5,1.0,0.07815678417682648,0.07491603493690491,2.3281753063201904
synthetic,identifiable[3],0,0.0,0.0021915179677307606,0.002188173122704029,1.2794629335403442
synthetic,identifiable[3],1,0.2,0.0032706165220588446,0.003256680443882942,1.518979549407959
synthetic,identifiable[3],2,0.4,0.003389911260455847,0.003452872857451439,1.7198728322982788
synthetic,identifiable[3],3,0.6,0.01616171933710575,0.016304969787597656,3.9877002239227295
synthetic,identifiable[3],4,0.8,0.02939590811729431,0.030123993754386902,2.463930606842041
synthetic,identifiable[3],5,1.0,0.0761088952422142,0.07282443344593048,2.2255609035491943
synthetic,identifiable[4],0,0.0,0.0016590568702667952,0.0016566321719437838,1.2253001928329468
synthetic,identifiable[4],1,0.2,0.0035034767352044582,0.003486796049401164,1.6288039684295654
synthetic,identifiable[4],2,0.4,0.0037160180509090424,0.0037871680688112974,1.901241660118103
synthetic,identifiable[4],3,0.6,0.01876908354461193,0.018960440531373024,4.19527530670166
synthetic,identifiable[4],4,0.8,0.031308580189943314,0.03212211653590202,2.7664542198181152
synthetic,identifiable[4],5,1.0,0.07947101444005966,0.07603169977664948,2.232150077819824
synthetic,identifiable[5],0,0.0,0.001446649432182312,0.0014442963292822242,1.231065273284912
synthetic,identifiable[5],1,0.2,0.002953964052721858,0.0029402892105281353,1.5532798767089844
synthetic,identifiable[5],2,0.4,0.003254061099141836,0.003315742127597332,1.912461519241333
synthetic,identifiable[5],3,0.6,0.01772967167198658,0.01793898455798626,4.050061225891113
synthetic,identifiable[5],4,0.8,0.029287807643413544,0.030071627348661423,2.791625738143921
synthetic,identifiable[5],5,1.0,0.08235782384872437,0.0785144791007042,2.4534339904785156
synthetic,identifiable[6],0,0.0,0.0012747356668114662,0.0012726554414257407,1.137367606163025
synthetic,identifiable[6],1,0.2,0.0028349976055324078,0.0028226040303707123,1.3811143636703491
synthetic,identifiable[6],2,0.4,0.003205072833225131,0.003263590857386589,1.7455699443817139
synthetic,identifiable[6],3,0.6,0.019840404391288757,0.02003364823758602,3.7936482429504395
synthetic,identifiable[6],4,0.8,0.02598104439675808,0.02665211260318756,3.0246286392211914
synthetic,identifiable[6],5,1.0,0.07578814029693604,0.07264116406440735,2.1250176429748535
synthetic,identifiable[7],0,0.0,0.002073846757411957,0.002070267219096422,1.0768272876739502
synthetic,identifiable[7],1,0.2,0.003827224252745509,0.0038101894315332174,1.2980964183807373
synthetic,identifiable[7],2,0.4,0.004143945872783661,0.004220136906951666,1.5310015678405762
synthetic,identifiable[7],3,0.6,0.017420180141925812,0.01760096661746502,3.8368687629699707
synthetic,identifiable[7],4,0.8,0.02447916939854622,0.025090426206588745,3.4561171531677246
synthetic,identifiable[7],5,1.0,0.08646991103887558,0.08273564279079437,2.2931199073791504
synthetic,identifiable[8],0,0.0,0.0019287839531898499,0.0019272323697805405,1.312307357788086
synthetic,identifiable[8],1,0.2,0.002900182968005538,0.0028898357413709164,1.6191861629486084
synthetic,identifiable[8],2,0.4,0.002820524387061596,0.0028728782199323177,2.1794426441192627
synthetic,identifiable[8],3,0.6,0.014689227566123009,0.014794979244470596,4.101907253265381
synthetic,identifiable[8],4,0.8,0.025489602237939835,0.02603406272828579,2.6671314239501953
synthetic,identifiable[8],5,1.0,0.08688708394765854,0.0832982212305069,2.0268893241882324
synthetic,identifiable[9],0,0.0,0.0016870790859684348,0.0016842454206198454,1.151663064956665
synthetic,identifiable[9],1,0.2,0.0037667935248464346,0.003749710973352194,1.4114941358566284
synthetic,identifiable[9],2,0.4,0.0042468588799238205,0.004324192646890879,1.7409499883651733
synthetic,identifiable[9],3,0.6,0.021722158417105675,0.021947696805000305,3.5770297050476074
synthetic,identifiable[9],4,0.8,0.032598040997982025,0.03342043235898018,2.5219032764434814
synthetic,identifiable[9],5,1.0,0.09818179905414581,0.09397303313016891,2.0560176372528076
synthetic,identifiable[10],0,0.0,0.0013799886219203472,0.0013775245752185583,1.1330775022506714
synthetic,identifiable[10],1,0.2,0.0028891656547784805,0.002877181163057685,1.4260281324386597
synthetic,identifiable[10],2,0.4,0.0031589381396770477,0.003218600293621421,1.7427772283554077
synthetic,identifiable[10],3,0.6,0.016572263091802597,0.016731727868318558,3.8830039501190186
synthetic,identifiable[10],4,0.8,0.02422114461660385,0.024847064167261124,3.060274124145508
synthetic,identifiable[10],5,1.0,0.07735111564397812,0.07406694442033768,2.005101203918457
synthetic,identifiable[11],0,0.0,0.0018814979121088982,0.0018815032672137022,1.2091141939163208
synthetic,identifiable[11],1,0.2,0.00258615636266768,0.0025766135659068823,1.5887794494628906
synthetic,identifiable[11],2,0.4,0.0021402803249657154,0.002180399838835001,2.087247610092163
synthetic,identifiable[11],3,0.6,0.012268307618796825,0.012364777736365795,3.9174795150756836
synthetic,identifiable[11],4,0.8,0.022722339257597923,0.023226801306009293,2.629558801651001
synthetic,identifiable[11],5,1.0,0.06479035317897797,0.062045805156230927,2.3374319076538086
synthetic,identifiable[12],0,0.0,0.002322640037164092,0.002318547572940588,1.120798945426941
synthetic,identifiable[12],1,0.2,0.004743798635900021,0.004723227117210627,1.266031265258789
synthetic,identifiable[12],2,0.4,0.004933795891702175,0.005023426841944456,1.5014493465423584
synthetic,identifiable[12],3,0.6,0.0159005057066679,0.016059694811701775,4.148078918457031
synthetic,identifiable[12],4,0.8,0.024876214563846588,0.025470752269029617,2.783339500427246
synthetic,identifiable[12],5,1.0,0.08431129902601242,0.08074796199798584,2.0053749084472656
synthetic,identifiable[13],0,0.0,0.0017285514622926712,0.0017284525092691183,1.3901946544647217
synthetic,identifiable[13],1,0.2,0.0023848633281886578,0.002374714706093073,1.7215970754623413
synthetic,identifiable[13],2,0.4,0.0024006154853850603,0.0024452656507492065,2.2576119899749756
synthetic,identifiable[13],3,0.6,0.01381225697696209,0.013931399211287498,4.507490158081055
synthetic,identifiable[13],4,0.8,0.028866520151495934,0.029561825096607208,2.7249011993408203
synthetic,identifiable[13],5,1.0,0.07538214325904846,0.07217854261398315,2.2344155311584473
synthetic,identifiable[14],0,0.0,0.0013468278339132667,0.001344546559266746,1.1550788879394531
synthetic,identifiable[14],1,0.2,0.0027846263255923986,0.0027724248357117176,1.449076533317566
synthetic,identifiable[14],2,0.4,0.0033856674563139677,0.003448349190875888,1.830977201461792
synthetic,identifiable[14],3,0.6,0.017769884318113327,0.017941119149327278,3.724123954772949
synthetic,identifiable[14],4,0.8,0.029636099934577942,0.03038877807557583,2.5944480895996094
synthetic,identifiable[14],5,1.0,0.08490195125341415,0.08128708600997925,2.058866262435913
synthetic,identifiable[15],0,0.0,0.0018893282394856215,0.0018890979699790478,1.1249518394470215
synthetic,identifiable[15],1,0.2,0.002762839198112488,0.002750684041529894,1.4618090391159058
synthetic,identifiable[15],2,0.4,0.0027597404550760984,0.002811881247907877,1.8101272583007812
synthetic,identifiable[15],3,0.6,0.013472924940288067,0.013584800064563751,4.181909561157227
synthetic,identifiable[15],4,0.8,0.02458963356912136,0.025165483355522156,2.821378231048584
synthetic,identifiable[15],5,1.0,0.07297573983669281,0.06977225840091705,2.36367130279541
synthetic,identifiable[16],0,0.0,0.001317331800237298,0.0013155032647773623,1.3023879528045654
synthetic,identifiable[16],1,0.2,0.002488924190402031,0.002477366477251053,1.7923293113708496
synthetic,identifiable[16],2,0.4,0.002756224013864994,0.0028078739996999502,2.204664468765259
synthetic,identifiable[16],3,0.6,0.017397558316588402,0.017573177814483643,4.559854030609131
synthetic,identifiable[16],4,0.8,0.027806540951132774,0.028509855270385742,2.8406758308410645
synthetic,identifiable[16],5,1.0,0.07478513568639755,0.07164617627859116,2.2650463581085205
