source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank,support_raw_variance,support_scale_free_variance
synthetic,identifiable[4],0,0.0,0.0016590568702667952,0.0016566321719437838,1.2253001928329468,0.0006981235346756876,3.6352057577460073e-06
synthetic,identifiable[4],1,0.2,0.0035034767352044582,0.003486796049401164,1.6288039684295654,0.0009361246484331787,4.8574115680821706e-06
synthetic,identifiable[4],2,0.4,0.0037160180509090424,0.0037871680688112974,1.901241660118103,0.0012726245913654566,6.7381288317847066e-06
synthetic,identifiable[4],3,0.6,0.01876908354461193,0.018960440531373024,4.19527530670166,0.011137939989566803,5.831379894516431e-05
synthetic,identifiable[4],4,0.8,0.031308580189943314,0.03212211653590202,2.7664542198181152,0.018151093274354935,9.656753536546603e-05
synthetic,identifiable[4],5,1.0,0.07947101444005966,0.07603169977664948,2.232150077819824,0.038238584995269775,0.00018973623809870332
synthetic,identifiable[5],0,0.0,0.001446649432182312,0.0014442963292822242,1.231065273284912,0.000681492907460779,3.5483985811879393e-06
synthetic,identifiable[5],1,0.2,0.002953964052721858,0.0029402892105281353,1.5532798767089844,0.0009541569743305445,4.9511245379108004e-06
synthetic,identifiable[5],2,0.4,0.003254061099141836,0.003315742127597332,1.912461519241333,0.0013172657927498221,6.97314681019634e-06
synthetic,identifiable[5],3,0.6,0.01772967167198658,0.01793898455798626,4.050061225891113,0.010375398211181164,5.435293132904917e-05
synthetic,identifiable[5],4,0.8,0.029287807643413544,0.030071627348661423,2.791625738143921,0.018034305423498154,9.59145836532116e-05
synthetic,identifiable[5],5,1.0,0.08235782384872437,0.0785144791007042,2.4534339904785156,0.03532759100198746,0.00017478803056292236
synthetic,identifiable[6],0,0.0,0.0012747356668114662,0.0012726554414257407,1.137367606163025,0.0004995028721168637,2.6010043256974313e-06
synthetic,identifiable[6],1,0.2,0.0028349976055324078,0.0028226040303707123,1.3811143636703491,0.0007091648876667023,3.6798287510464434e-06
synthetic,identifiable[6],2,0.4,0.003205072833225131,0.003263590857386589,1.7455699443817139,0.0010359518928453326,5.481019343278604e-06
synthetic,identifiable[6],3,0.6,0.019840404391288757,0.02003364823758602,3.7936482429504395,0.01272406242787838,6.658686470473185e-05
synthetic,identifiable[6],4,0.8,0.02598104439675808,0.02665211260318756,3.0246286392211914,0.017033524811267853,9.063392644748092e-05
synthetic,identifiable[6],5,1.0,0.07578814029693604,0.07264116406440735,2.1250176429748535,0.04457467049360275,0.00022173540492076427
synthetic,identifiable[7],0,0.0,0.002073846757411957,0.002070267219096422,1.0768272876739502,0.000942455604672432,4.9077543735620566e-06
synthetic,identifiable[7],1,0.2,0.003827224252745509,0.0038101894315332174,1.2980964183807373,0.001036832109093666,5.380592028814135e-06
synthetic,identifiable[7],2,0.4,0.004143945872783661,0.004220136906951666,1.5310015678405762,0.0011752910213544965,6.220101568032987e-06
synthetic,identifiable[7],3,0.6,0.017420180141925812,0.01760096661746502,3.8368687629699707,0.009136278182268143,4.786024510394782e-05
synthetic,identifiable[7],4,0.8,0.02447916939854622,0.025090426206588745,3.4561171531677246,0.017559079453349113,9.341284749098122e-05
synthetic,identifiable[7],5,1.0,0.08646991103887558,0.08273564279079437,2.2931199073791504,0.041521064937114716,0.00020590616622939706
synthetic,identifiable[8],0,0.0,0.0019287839531898499,0.0019272323697805405,1.312307357788086,0.0009538151789456606,4.970739610143937e-06
synthetic,identifiable[8],1,0.2,0.002900182968005538,0.0028898357413709164,1.6191861629486084,0.0012026248732581735,6.243823008844629e-06
synthetic,identifiable[8],2,0.4,0.002820524387061596,0.0028728782199323177,2.1794426441192627,0.0012582882773131132,6.667021352768643e-06
synthetic,identifiable[8],3,0.6,0.014689227566123009,0.014794979244470596,4.101907253265381,0.010599439963698387,5.5499825975857675e-05
synthetic,identifiable[8],4,0.8,0.025489602237939835,0.02603406272828579,2.6671314239501953,0.01875053346157074,9.9630793556571e-05
synthetic,identifiable[8],5,1.0,0.08688708394765854,0.0832982212305069,2.0268893241882324,0.03687505051493645,0.00018307870777789503
synthetic,identifiable[9],0,0.0,0.0016870790859684348,0.0016842454206198454,1.151663064956665,0.0006807330064475536,3.5446180390863447e-06
synthetic,identifiable[9],1,0.2,0.0037667935248464346,0.003749710973352194,1.4114941358566284,0.0009054637048393488,4.6988729991426226e-06
synthetic,identifiable[9],2,0.4,0.0042468588799238205,0.004324192646890879,1.7409499883651733,0.0014240976888686419,7.535222266596975e-06
synthetic,identifiable[9],3,0.6,0.021722158417105675,0.021947696805000305,3.5770297050476074,0.011708634905517101,6.1305909184739e-05
synthetic,identifiable[9],4,0.8,0.032598040997982025,0.03342043235898018,2.5219032764434814,0.0193545650690794,0.00010298633424099535
synthetic,identifiable[9],5,1.0,0.09818179905414581,0.09397303313016891,2.0560176372528076,0.04250757023692131,0.00021074082178529352
synthetic,identifiable[10],0,0.0,0.0013799886219203472,0.0013775245752185583,1.1330775022506714,0.0005796459736302495,3.0182607133610873e-06
synthetic,identifiable[10],1,0.2,0.0028891656547784805,0.002877181163057685,1.4260281324386597,0.0007696694228798151,3.993899554188829e-06
synthetic,identifiable[10],2,0.4,0.0031589381396770477,0.003218600293621421,1.7427772283554077,0.0009865323081612587,5.220964794716565e-06
synthetic,identifiable[10],3,0.6,0.016572263091802597,0.016731727868318558,3.8830039501190186,0.011011644266545773,5.763606168329716e-05
synthetic,identifiable[10],4,0.8,0.02422114461660385,0.024847064167261124,3.060274124145508,0.016763444989919662,8.918479579733685e-05
synthetic,identifiable[10],5,1.0,0.07735111564397812,0.07406694442033768,2.005101203918457,0.041351646184921265,0.00020569910702761263
synthetic,identifiable[11],0,0.0,0.0018814979121088982,0.0018815032672137022,1.2091141939163208,0.0011615573894232512,6.05556124355644e-06
synthetic,identifiable[11],1,0.2,0.00258615636266768,0.0025766135659068823,1.5887794494628906,0.0012966147623956203,6.731411303917412e-06
synthetic,identifiable[11],2,0.4,0.0021402803249657154,0.002180399838835001,2.087247610092163,0.0012288009747862816,6.512841537187342e-06
synthetic,identifiable[11],3,0.6,0.012268307618796825,0.012364777736365795,3.9174795150756836,0.007873171009123325,4.122798054595478e-05
synthetic,identifiable[11],4,0.8,0.022722339257597923,0.023226801306009293,2.629558801651001,0.014648109674453735,7.778723374940455e-05
synthetic,identifiable[11],5,1.0,0.06479035317897797,0.062045805156230927,2.3374319076538086,0.03024577908217907,0.00014993903459981084
synthetic,identifiable[12],0,0.0,0.002322640037164092,0.002318547572940588,1.120798945426941,0.0009721608366817236,5.062174750491977e-06
synthetic,identifiable[12],1,0.2,0.004743798635900021,0.004723227117210627,1.266031265258789,0.0010830920655280352,5.621224318019813e-06
synthetic,identifiable[12],2,0.4,0.004933795891702175,0.005023426841944456,1.5014493465423584,0.0015111954417079687,7.996142812771723e-06
synthetic,identifiable[12],3,0.6,0.0159005057066679,0.016059694811701775,4.148078918457031,0.01046548318117857,5.482206688611768e-05
synthetic,identifiable[12],4,0.8,0.024876214563846588,0.025470752269029617,2.783339500427246,0.017075909301638603,9.084753401111811e-05
synthetic,identifiable[12],5,1.0,0.08431129902601242,0.08074796199798584,2.0053749084472656,0.037441834807395935,0.00018573354464024305
synthetic,identifiable[13],0,0.0,0.0017285514622926712,0.0017284525092691183,1.3901946544647217,0.0009430312784388661,4.914862984151114e-06
synthetic,identifiable[13],1,0.2,0.0023848633281886578,0.002374714706093073,1.7215970754623413,0.001178687671199441,6.117077191447606e-06
synthetic,identifiable[13],2,0.4,0.0024006154853850603,0.0024452656507492065,2.2576119899749756,0.001226348802447319,6.4995601860573515e-06
synthetic,identifiable[13],3,0.6,0.01381225697696209,0.013931399211287498,4.507490158081055,0.009088721126317978,4.758864815812558e-05
synthetic,identifiable[13],4,0.8,0.028866520151495934,0.029561825096607208,2.7249011993408203,0.016887610778212547,8.972505747806281e-05
synthetic,identifiable[13],5,1.0,0.07538214325904846,0.07217854261398315,2.2344155311584473,0.035066209733486176,0.0001740342122502625
synthetic,identifiable[14],0,0.0,0.0013468278339132667,0.001344546559266746,1.1550788879394531,0.0005778981139883399,3.009305828527431e-06
synthetic,identifiable[14],1,0.2,0.0027846263255923986,0.0027724248357117176,1.449076533317566,0.000830966979265213,4.312021701480262e-06
synthetic,identifiable[14],2,0.4,0.0033856674563139677,0.003448349190875888,1.830977201461792,0.0011391396401450038,6.028549250913784e-06
synthetic,identifiable[14],3,0.6,0.017769884318113327,0.017941119149327278,3.724123954772949,0.010404793545603752,5.445848364615813e-05
synthetic,identifiable[14],4,0.8,0.029636099934577942,0.03038877807557583,2.5944480895996094,0.018266892060637474,9.716801287140697e-05
synthetic,identifiable[14],5,1.0,0.08490195125341415,0.08128708600997925,2.058866262435913,0.04286397993564606,0.00021286995615810156
synthetic,identifiable[15],0,0.0,0.0018893282394856215,0.0018890979699790478,1.1249518394470215,0.001043466618284583,5.438281732494943e-06
synthetic,identifiable[15],1,0.2,0.002762839198112488,0.002750684041529894,1.4618090391159058,0.0011579724960029125,6.01002830080688e-06
synthetic,identifiable[15],2,0.4,0.0027597404550760984,0.002811881247907877,1.8101272583007812,0.0012715873308479786,6.7370237957220525e-06
synthetic,identifiable[15],3,0.6,0.013472924940288067,0.013584800064563751,4.181909561157227,0.008465594612061977,4.433431240613572e-05
